Name,Description,Price,Image
Elegant blue Gown,Beautiful blue gown for special occasions,150,product1.jpg
Summer Floral Dress,Light and stylish floral dress for summer,60,summer_floral_dress.jpg
Casual Maxi Dress,Comfortable and chic maxi dress,45,casual_maxi_dress.jpg
Black Evening Dress,Stunning black evening dress with sequins,200,black_evening_dress.jpg
Boho Chic Sundress,Bohemian-style sundress for a relaxed look,35,boho_chic_sundress.jpg
Formal Cocktail Dress,Elegant cocktail dress for formal events,120,formal_cocktail_dress.jpg
Printed Midi Dress,Trendy printed midi dress with a belt,55,printed_midi_dress.jpg
Lace Wedding Gown,Exquisite lace wedding gown for brides,300,lace_wedding_gown.jpg
Striped Summer Dress,Striped summer dress for a playful style,40,striped_summer_dress.jpg
Classic White Shirt,Timeless white shirt for versatile outfits,25,classic_white_shirt.jpg
Denim Jeans,Stylish denim jeans for everyday wear,50,denim_jeans.jpg
Leather Jacket,Classic leather jacket for a rugged look,80,leather_jacket.jpg
Comfort Sneakers,Comfortable sneakers for active days,30,comfort_sneakers.jpg
Canvas Backpack,Durable canvas backpack for on-the-go storage,40,canvas_backpack.jpg
Straw Hat,Stylish straw hat for sun protection,15,straw_hat.jpg
Leather Boots,Fashionable leather boots for all seasons,70,leather_boots.jpg
Summer Sandals,Casual summer sandals for warm days,20,summer_sandals.jpg
Silk Scarf,Luxurious silk scarf to complete your look,35,silk_scarf.jpg
Cozy Cardigan,Cozy cardigan for cool evenings,45,cozy_cardigan.jpg
Running Shoes,Performance running shoes for workouts,60,running_shoes.jpg
Fancy Earrings,Elegant earrings for special occasions,18,fancy_earrings.jpg
Trendy Sunglasses,Stylish sunglasses for a fashionable look,25,trendy_sunglasses.jpg
Professional Watch,High-quality watch for a professional appearance,120,professional_watch.jpg
Denim Skirt,Denim skirt for a trendy and casual style,30,denim_skirt.jpg
Knit Sweater,Warm and soft knit sweater for cold weather,40,knit_sweater.jpg
Hiking Boots,Durable hiking boots for outdoor adventures,70,hiking_boots.jpg
Tote Bag,Spacious tote bag for carrying your essentials,25,tote_bag.jpg
Pendant Necklace,Charming pendant necklace for everyday wear,15,pendant_necklace.jpg
Linen Blouse,Airy linen blouse for a comfortable summer,35,linen_blouse.jpg
Classic Trench Coat,Timeless trench coat for a polished look,90,classic_trench_coat.jpg

----todo
Quantity
shopping cart design
image uploads
Footer
