Name,Description,Price,Image
Product 1,This is the description for Product 1,19.99,product1.jpg
Product 2,Description for Product 2 goes here,24.99,product2.jpg
Product 3,Product 3 description,29.99,product3.jpg
Product 4,Product 4 description,15.99,product4.jpg
Product 5,Product 5 description,49.99,product5.jpg
Product 6,Product 6 description,34.99,product6.jpg
Product 7,Product 7 description,22.99,product7.jpg
Product 8,Product 8 description,17.99,product8.jpg
Product 9,Product 9 description,27.99,product9.jpg
Product 10,Product 10 description,39.99,product10.jpg
Product 11,Product 11 description,21.99,product11.jpg
Product 12,Product 12 description,14.99,product12.jpg
Product 13,Product 13 description,32.99,product13.jpg
Product 14,Product 14 description,26.99,product14.jpg
Product 15,Product 15 description,19.99,product15.jpg
Product 16,Product 16 description,29.99,product16.jpg
Product 17,Product 17 description,24.99,product17.jpg
Product 18,Product 18 description,12.99,product18.jpg
Product 19,Product 19 description,44.99,product19.jpg
Product 20,Product 20 description,37.99,product20.jpg
Product 21,Product 21 description,18.99,product21.jpg
Product 22,Product 22 description,31.99,product22.jpg
Product 23,Product 23 description,28.99,product23.jpg
Product 24,Product 24 description,14.99,product24.jpg
Product 25,Product 25 description,36.99,product25.jpg
Product 26,Product 26 description,23.99,product26.jpg
Product 27,Product 27 description,16.99,product27.jpg
Product 28,Product 28 description,30.99,product28.jpg
Product 29,Product 29 description,45.99,product29.jpg
Product 30,Product 30 description,33.99,product30.jpg
